seed,cumulative_reward,final_mastery,time_to_mastery,question_accuracy,blueprint_adherence,content_rate,post_content_gain
0,119.93115222039368,0.4714958322544579,,0.85,53.33333333333334,0.0,0.0
1,134.05723811204118,0.4304623315674393,,0.9428571428571428,46.666666666666664,0.0,0.0
2,1.898297835741218,0.29853256588978866,,0.25,46.666666666666664,0.4,0.03484937506673269
3,106.78151368164629,0.4257746485983734,,0.7769784172661871,46.666666666666664,0.007142857142857143,0.08591717623222195
4,128.73353701481432,0.41761771033371814,,0.9136690647482014,46.666666666666664,0.007142857142857143,0.10407080950601172
5,78.37522990206811,0.49241102930012864,,0.7222222222222222,46.666666666666664,0.22857142857142856,0.06777937133161749
6,129.6402242768136,0.39740590935311476,,0.9142857142857143,46.666666666666664,0.0,0.0
7,116.41058112744327,0.43118133909763606,,0.8285714285714286,46.666666666666664,0.0,0.0
8,116.57958309218662,0.4372326185841921,,0.855072463768116,50.04830917874396,0.014285714285714285,0.09058933864266167
9,122.0715104001724,0.4376253970626522,,0.8642857142857143,46.666666666666664,0.0,0.0
10,24.832780801780558,0.6007359984045119,,1.0,46.666666666666664,0.9857142857142858,0.06586768543944682
11,106.64717075548795,0.44498315295126883,,0.9252336448598131,46.666666666666664,0.2357142857142857,0.076234009233692
12,140.45767256836004,0.4134755106435973,,0.9857142857142858,46.666666666666664,0.0,0.0
13,127.74530002175048,0.4052819852956822,,0.9071428571428571,46.666666666666664,0.0,0.0
14,109.56228801436993,0.41245274579173585,,0.7928571428571428,46.666666666666664,0.0,0.0
15,17.108745652220513,0.31321871472748974,,0.59375,46.666666666666664,0.15789473684210525,0.043881339124040686
16,50.51177821987483,0.5003030875896646,,0.9375,46.666666666666664,0.7714285714285715,0.075939505636847
17,114.17042529546444,0.42481122042910313,,0.8201438848920863,46.666666666666664,0.007142857142857143,0.0759644845506603
18,137.15177782443578,0.4368845467262427,,0.9642857142857143,46.666666666666664,0.0,0.0
19,120.590728106275,0.43855673156696456,,0.8571428571428571,46.666666666666664,0.0,0.0
